gene1,gene2,combined_score
ACTA2,FSCN1,434
EREG,FSCN1,585
EREG,FSCN1,585
TUBB,FSCN1,528
TUBB,FSCN1,528
CTTN,FSCN1,771
CTTN,FSCN1,771
NFKBIA,SQSTM1,809
NFKBIA,SQSTM1,809
CRHBP,SQSTM1,447
CRHBP,SQSTM1,447
TUBB,SQSTM1,403
TUBB,SQSTM1,403
EIF4EBP1,SQSTM1,506
EIF4EBP1,SQSTM1,506
ATF3,SQSTM1,522
ATF3,SQSTM1,522
MAFG,SQSTM1,815
MAFG,SQSTM1,815
JUN,SQSTM1,589
JUN,SQSTM1,589
MRPS7,ATP5MC1,646
MRPS7,ATP5MC1,646
RPL8,ATP5MC1,513
RPL8,ATP5MC1,513
MRPL4,ATP5MC1,523
MRPL4,ATP5MC1,523
MCM5,PTTG1,453
MCM5,PTTG1,453
GMNN,PTTG1,532
GMNN,PTTG1,532
MND1,PTTG1,530
MND1,PTTG1,530
GINS2,PTTG1,553
GINS2,PTTG1,553
ESPL1,PTTG1,999
ESPL1,PTTG1,999
PKMYT1,PTTG1,696
PKMYT1,PTTG1,696
ASF1B,PTTG1,636
ASF1B,PTTG1,636
CDCA5,PTTG1,829
CDCA5,PTTG1,829
CENPU,PTTG1,504
CENPU,PTTG1,504
TPX2,PTTG1,921
TPX2,PTTG1,921
BUB1,PTTG1,955
BUB1,PTTG1,955
CKS1B,PTTG1,854
CKS1B,PTTG1,854
TYMS,PTTG1,703
TYMS,PTTG1,703
CDC25C,PTTG1,716
CDC25C,PTTG1,716
TUBB,PTTG1,428
TUBB,PTTG1,428
TTK,PTTG1,835
TTK,PTTG1,835
CEP55,PTTG1,892
CEP55,PTTG1,892
NCOA3,PTTG1,425
NCOA3,PTTG1,425
ZWINT,PTTG1,725
ZWINT,PTTG1,725
CKS2,PTTG1,888
CKS2,PTTG1,888
PCNA,PTTG1,411
PCNA,PTTG1,411
MT2A,MT1X,866
MT2A,MT1X,866
ZWINT,MT1X,423
ZWINT,MT1X,423
MCM5,KIF20A,723
MCM5,KIF20A,723
MND1,KIF20A,598
MND1,KIF20A,598
GINS2,KIF20A,554
GINS2,KIF20A,554
ESPL1,KIF20A,896
ESPL1,KIF20A,896
KLC4,KIF20A,572
