gene,degree,betweenness,closeness,eigenvector,community,evidence_count,degree_rank,betweenness_rank,bridge_score,ENTREZID,druggability_score,drug_method,is_hub,is_bridge,is_core,is_druggable,degree_norm,between_norm,evidence_norm,drug_norm,target_score
CYP51A1,7,0,0.3177083333333333,0.008649373044993944,3,2,108.5,170,-61.5,1595,0,NA,FALSE,FALSE,FALSE,FALSE,0.08823529411764706,0,0.25,0,0.10147058823529412
PTPN7,2,6.0869843341470086e-5,0.3238938053097345,0.007301636716037753,4,2,157.5,151,6.5,5778,0.576444,proteoscore,FALSE,FALSE,FALSE,TRUE,0.014705882352941176,2.155946659154059e-4,0.25,0.09820939971445802,0.09909676358195704
KLC4,5,0.008651081079025503,0.3267857142857143,0.0664015660560509,4,2,126,49,77,89953,0,NA,FALSE,FALSE,FALSE,FALSE,0.058823529411764705,0.03064123107031061,0.25,0,0.09877530503759153
IL3RA,6,0.0017117636721501375,0.3166089965397924,0.005609697150975471,4,2,116.5,96,20.5,3563,0,NA,FALSE,FALSE,FALSE,FALSE,0.07352941176470588,0.006062889220086242,0.25,0,0.09827140137342902
IER2,6,0,0.3539651837524178,0.023532351547195147,1,2,116.5,170,-53.5,9592,0,NA,FALSE,FALSE,FALSE,FALSE,0.07352941176470588,0,0.25,0,0.09705882352941177
CD200,5,0.0053504516612443735,0.31443298969072164,0.00492220228748054,4,2,126,65,61,4345,0,NA,FALSE,FALSE,FALSE,FALSE,0.058823529411764705,0.018950744327226158,0.25,0,0.09643720768897464
CFP,4,0.011034047919293822,0.2841614906832298,0.0014539335490793026,4,2,134.5,36,98.5,5199,0,NA,FALSE,FALSE,FALSE,FALSE,0.04411764705882353,0.039081452230944384,0.25,0,0.09605158456383593
TSPO,5,0.0021102640433200044,0.3560311284046693,0.01781219341517134,3,2,126,88,38,706,0,NA,FALSE,FALSE,FALSE,FALSE,0.058823529411764705,0.007474336164471589,0.25,0,0.09414192605642373
ACTA2,5,0.0013162429427931847,0.35812133072407043,0.01344162843367312,3,2,126,106,20,59,0,NA,FALSE,FALSE,FALSE,FALSE,0.058823529411764705,0.004661995857670854,0.25,0,0.09357945799506358
PPARD,5,5.882406380347163e-4,0.40486725663716816,0.04876241250610018,1,2,126,125,1,5467,0,NA,FALSE,FALSE,FALSE,FALSE,0.058823529411764705,0.0020834872717432717,0.25,0,0.09306375627787807
CALCOCO2,5,4.3451209381343295e-4,0.33394160583941607,0.01325124239703246,1,2,126,127,-1,10241,0,NA,FALSE,FALSE,FALSE,FALSE,0.058823529411764705,0.0015389967274334721,0.25,0,0.09295485816901611
ATP5MC1,5,5.1066177447705044e-5,0.32854578096947934,0.018404471222931543,6,2,126,152,-26,516,0,NA,FALSE,FALSE,FALSE,FALSE,0.058823529411764705,1.8087109908682917e-4,0.25,0,0.09268323304334677
CDCA5,28,3.982580584790939e-4,0.3952483801295896,0.8282863546693139,2,2,20.5,129,-108.5,113130,-2.98985,proteoscore,TRUE,FALSE,FALSE,FALSE,0.39705882352941174,0.00141058869799031,0.25,-0.5093840403166177,0.09252295673509804
PGAM1,12,0.0036229138212289574,0.38445378151260506,0.05702114328099106,3,3,66.5,81,-14.5,5223,-3.263205,PhosphoScore,FALSE,FALSE,TRUE,FALSE,0.16176470588235295,0.012831984642155635,0.5,-0.5559558329954307,0.08990464209405086
RARB,4,0.0016041049127768147,0.3539651837524178,0.013736653842392234,1,2,134.5,100,34.5,5915,0,NA,FALSE,FALSE,FALSE,FALSE,0.04411764705882353,0.005681573070975252,0.25,0,0.0893716087318421
