gene_name,significant,difference,logpval
TNFAIP3,+,0.375685453414917,1.87235086320037
B3GALT4,+,0.514924645423889,1.30816333945389
PATL2,+,0.946041345596313,2.3068197442572
FAM117A,+,0.692284107208252,1.41374018481717
HMMR,+,-0.614439964294434,2.60692186469356
ZNF154,+,0.712125062942505,1.38804397168879
TBC1D3E,+,0.676247119903564,1.84614704614504
DHFR,+,-0.476613759994507,2.25464491116669
NR1H2,+,0.335167646408081,1.47637211628005
CCNF,+,-0.416719913482666,2.00902022725725
ZSCAN30,+,0.601646661758423,2.00346909809085
TMOD4,+,0.54960572719574,2.23449322387967
DEPDC1B,+,-0.47139310836792,1.57222870884199
PPARD,+,0.979469776153564,1.88480868647732
KDM8,+,0.544613838195801,1.63301691145832
CACNA1F,+,2.12471771240234,2.20932351199085
MAVS,+,0.274803400039673,1.49744106151627
CHKB,+,0.384828567504883,1.70416993368397
ATG16L2,+,0.530752420425415,2.08230701769024
ZNF706,+,0.479544401168823,1.85599242324348
ZMAT1,+,0.688714265823364,2.59040087961035
CYP51A1,+,-0.562634229660034,1.61264714832984
APOLD1,+,-1.71482598781586,1.6094653891983
CCDC159,+,0.490165948867798,2.45364394156105
PALD1,+,-0.987124681472778,1.8617408489929
MST1,+,0.58490002155304,2.62908428094921
LYRM9,+,0.421312093734741,1.72951950437936
MLXIP,+,0.391253471374512,1.8634683201006
CDKN1C,+,1.86351776123047,1.53036850737479
DMAP1,+,0.284409761428833,1.97879566018671
ASIC3,+,0.789647579193115,1.83336015913397
NFKBIZ,+,0.956202268600464,1.80676752798453
MS4A4E,+,1.07472634315491,1.92875564984795
UBE2T,+,-0.429321765899658,1.55504381844874
RPS28,+,0.260361194610596,1.3213976024195
C1orf106,+,-1.14879703521729,2.72762538421511
RPS15,+,0.308120965957642,1.84774239248479
PGRMC1,+,-0.350144147872925,1.39980172673372
GPC1,+,-0.840293765068054,1.50693245066081
BCL3,+,0.760563611984253,1.60859760648391
PABPC1L,+,0.25833535194397,1.58368700724233
TTBK2,+,0.31855297088623,1.36619321520849
