gene,logFC,QValue,KO_condition
RASSF5,-1.07169950866205,1.46589756582958e-05,KCTD5
CFAP44,-1.07127475796727,0.00248230873303677,KCTD5
HLX,-1.06543764419615,0.0194469932081587,KCTD5
SLC35F6,-1.06502010804058,1.83879613399961e-05,KCTD5
OR2AG2,-1.06451880347175,0.0132377432531009,KCTD5
MAPT,-1.06340897074417,0.00247001458920685,KCTD5
LRRN3,-1.06135843210576,0.00205576735053212,KCTD5
OMD,-1.06080561213448,0.0131891357276738,KCTD5
DMGDH,-1.06031755543365,0.0108346057627271,KCTD5
HSPBAP1,-1.06024914338986,0.00179069341888913,KCTD5
ATP2A3,-1.05929148100328,0.000103559182690037,KCTD5
KIF26B,-1.05552881657703,0.00516484782079657,KCTD5
LRRC7,-1.05182121965458,0.00263013668644762,KCTD5
TRIM61,-1.04985188165964,0.0286769262026877,KCTD5
GPR35,-1.04678128500976,0.0249161382453246,KCTD5
CCDC146,-1.04377005186029,0.0221524609791474,KCTD5
GBA,-1.04153473399529,0.000213921018596057,KCTD5
HIP1,-1.03697889163732,3.07289819943825e-05,KCTD5
SLC44A5,-1.03475399199035,0.00032170186510368,KCTD5
AKR1C3,-1.03024833009744,0.0147097195927318,KCTD5
C9orf131,-1.02595612466732,0.0171513049785705,KCTD5
SLC34A3,-1.02416174002914,0.0123030260569014,KCTD5
TBC1D10C,-1.02163533238676,0.0201957736980923,KCTD5
CD160,-1.01902520510898,0.0183273342844161,KCTD5
PGAM2,-1.01746126322075,0.0124849135855147,KCTD5
AMDHD2,-1.01602686445042,0.000181830001326929,KCTD5
ACVR2A,-1.01598865453546,0.000345557522287803,KCTD5
PCDHGB3,-1.01422763930383,0.0132164691525273,KCTD5
CYRIA,-1.01205050798557,0.000200916661418207,KCTD5
RAB43,-1.01124133093829,0.000273281704257753,KCTD5
ANGPT2,-1.00970282795339,0.00453928374062465,KCTD5
CHN1,-1.00832669497675,0.0349090160967414,KCTD5
GPR21,-1.00745902479429,0.0363337943947037,KCTD5
GCNA,-1.00570480953164,0.0251564749649802,KCTD5
NDST2,-1.0041772008861,5.49177691664477e-05,KCTD5
HSH2D,-1.00154599920853,0.0266385843352601,KCTD5
CEACAM19,-1.00082999182493,0.00145460798902308,KCTD5
TRIM26,-1.00022545308408,0.00522476974946652,KCTD5
CORO1A,-1.00012337900985,0.000341624919143009,KCTD5
ADAM32,-0.999396351892886,0.0406739706342755,KCTD5
SIGLEC14,-0.997302957861756,0.0352789642327083,KCTD5
CYBB,-0.997158903683317,0.0195715704349017,KCTD5
SLC38A7,-0.995326975571096,0.00068660852759908,KCTD5
SDR42E1,-0.99483952381612,0.0268726806419387,KCTD5
ST8SIA4,-0.990103005630225,0.0235732474367666,KCTD5
C14orf39,-0.987576960407359,0.0329315364715971,KCTD5
ESYT3,-0.987169427962821,0.0421873587821466,KCTD5
FN1,-0.985161382047057,0.000174898782523314,KCTD5
GAB2,-0.984436638522762,0.000171102142668894,KCTD5
PLEKHG2,-0.984015685496871,0.000115517004109139,KCTD5
MOV10L1,-0.983642965596971,0.0319460669153646,KCTD5
CYP19A1,-0.982288755056356,0.0059300766416286,KCTD5
MREG,-0.982060288679405,0.0131941734457877,KCTD5
ACACB,-0.980385279247193,0.00030762503045223,KCTD5
CD24,-0.979999378572074,9.06102093772532e-05,KCTD5
GTF2IRD2B,-0.977704821329859,0.0115564658411424,KCTD5
FOXP1,-0.975973336284134,0.000105854203582002,KCTD5
ZNF275,-0.974924199509111,9.56311227624539e-05,KCTD5
PABIR1,-0.974280181901071,0.000545033964242508,KCTD5
OR10A2,-0.973747023979555,0.0212718484383159,KCTD5
TNFAIP8L2,-0.973509607960502,0.0354175417616981,KCTD5
EDEM1,-0.97208247321275,0.000118086497481067,KCTD5
CD200R1L,-0.971734409325172,0.0310469718860157,KCTD5
RGS16,-0.971436113082843,0.0171185038420801,KCTD5
KCNRG,-0.970852561936821,0.0168818067977981,KCTD5
ZC3H12B,-0.963359871765504,0.0173198467818405,KCTD5
STAT6,-0.959885995097795,0.000132758308816519,KCTD5
ZNF738,-0.955036600723908,0.0200122104223781,KCTD5
GPR161,-0.954698216664239,0.0186590299511572,KCTD5
ZNF502,-0.954615605515235,0.0413103957863419,KCTD5
PCDHGA6,-0.954285157681572,0.0116140537090917,KCTD5
CHCHD6,-0.95090193190114,0.000784481891458773,KCTD5
PLSCR4,-0.950872616741138,0.0465591149704597,KCTD5
C5AR1,-0.950510911825948,0.0157343669220667,KCTD5
DDX58,-0.94873697777415,0.021345322808074,KCTD5
ADTRP,-0.946921262286815,0.00146878170811179,KCTD5
MMRN2,-0.946221960485278,0.0424511778076666,KCTD5
CASP8,-0.945845705232289,0.000471521447898733,KCTD5
STIMATE,-0.944877238186287,0.000455426645024106,KCTD5
USP54,-0.944251006258576,0.000190842609912121,KCTD5
DLEU7,-0.944246117291489,0.0389245270542909,KCTD5
TRIM34,-0.943026161091326,0.0329427482603942,KCTD5
STIMATE-MUSTN1,-0.938092285853492,0.000466167325452629,KCTD5
ARSB,-0.937548322905867,0.0011793415280177,KCTD5
TSPEAR,-0.935060001015384,0.0243981237818518,KCTD5
ICAM1,-0.934832634712619,0.000221320053515512,KCTD5
IGF2R,-0.934780158914861,0.0005098190673906,KCTD5
MAGI2,-0.934059644801282,0.0233690674892373,KCTD5
TYROBP,-0.934017557105999,0.030584785866593,KCTD5
LRRTM2,-0.933991243260032,0.0122305287881274,KCTD5
GM2A,-0.933655114594735,0.000225800040220907,KCTD5
FAM187A,-0.932908186658523,0.0396316286674054,KCTD5
PATZ1,-0.93027618986595,0.00221549141628896,KCTD5
BHLHB9,-0.929169567254201,0.0309846634421345,KCTD5
MRTFB,-0.927652790462134,0.000309083516918742,KCTD5
C2,-0.927514835252837,0.00720667988822262,KCTD5
DCHS2,-0.927186276570553,0.000336534166374799,KCTD5
RASGRP4,-0.925874094440268,0.000777471119416678,KCTD5
S100P,-0.925107389530828,0.00232037329522118,KCTD5
NBPF6,-0.924738386444674,0.0140237052176318,KCTD5
ERVW-1,-0.922179112849756,0.0271580334548845,KCTD5
PDE7B,-0.92007127130255,0.0333101397897037,KCTD5
TMC5,-0.91945608828755,0.0329427482603942,KCTD5
TTC30A,-0.918047983959931,0.00648018747570881,KCTD5
GREB1L,-0.918044325854758,0.0275665135511304,KCTD5
FNIP2,-0.917970451715027,0.000384246199207902,KCTD5
PABPC1L,-0.916763943543235,0.000277225427365522,KCTD5
NR2F2,-0.916526031071696,0.000306383999363302,KCTD5
ABHD6,-0.916196842557887,0.0127078014479146,KCTD5
NBPF4,-0.915376949185546,0.0158362781993454,KCTD5
NAIP,-0.915192683400698,0.0220770950233633,KCTD5
CXCL2,-0.91424074509327,0.00791897767267024,KCTD5
C1RL,-0.91353676200409,0.000880742853785912,KCTD5
SPAG17,-0.913322534539366,0.0179618298500702,KCTD5
ATG16L2,-0.912032572627188,0.000503594200084388,KCTD5
IKBKE,-0.9107042977118,0.00750861362126399,KCTD5
GNRHR,-0.909940514731983,0.0197760826004829,KCTD5
SEMA6A,-0.908904151644369,0.0290642952544916,KCTD5
SLC2A13,-0.908900486061066,0.00205607930271805,KCTD5
UBAP1L,-0.905847451112384,0.020603631025935,KCTD5
ANTXR1,-0.903773927935232,0.00932102470457107,KCTD5
EXOSC6,-0.903607036599059,0.000351634318343244,KCTD5
CD33,-0.901733110008238,0.000698949362986391,KCTD5
C22orf23,-0.900698248529035,0.00225296622137733,KCTD5
TMEM234,-0.897320674430734,0.00139985417805742,KCTD5
COL4A5,-0.894276488475282,0.0245517764476418,KCTD5
JAM3,-0.89392651300496,0.0381386757355585,KCTD5
AMHR2,-0.893084786166781,0.000936116374096958,KCTD5
PCDHGA4,-0.891588748962976,0.0170130302908872,KCTD5
TIRAP,-0.891135604198414,0.00497250266268304,KCTD5
VIPR2,-0.890620791108383,0.0186634370750639,KCTD5
GPR75,-0.889107746118237,0.0145034421096512,KCTD5
RPP25,-0.888328372798232,0.00275849189087593,KCTD5
MICALL1,-0.885563693033413,0.000477184803905562,KCTD5
ATP8B4,-0.885221356131627,0.00231353866079805,KCTD5
IL18,-0.885024235565504,0.00785810243568241,KCTD5
FNDC3B,-0.884842599189821,0.000558762785322151,KCTD5
KCNH5,-0.883951895876205,0.0340589515600119,KCTD5
SGPL1,-0.883161012413248,0.000538938713415422,KCTD5
STAG1,-0.882483908052043,0.0013488700326325,KCTD5
ZNF641,-0.881605338259091,0.000880726380343449,KCTD5
LAT,-0.879019630833192,0.045183000274772,KCTD5
ITPR1,-0.878792131003088,0.000546817583638251,KCTD5
MET,-0.876734807567166,0.0295212258594458,KCTD5
FBXL14,-0.875635452354938,0.00347897995922405,KCTD5
ARHGAP24,-0.875061486402241,0.00379188893871526,KCTD5
ZNF268,-0.874949378813419,0.00317761544098462,KCTD5
IDUA,-0.874906316244812,0.00143924873174615,KCTD5
ETV6,-0.874293042049207,0.000829545616351728,KCTD5
IL13RA1,-0.873788422238959,0.000854982378695122,KCTD5
IKZF2,-0.872621811976636,0.0399094490325953,KCTD5
INHBE,-0.871818782109154,0.000566824190119282,KCTD5
TNRC6C,-0.870876242513434,0.00105339710168484,KCTD5
