gene,L1_Krishnan_scRNAseq,L2_Awad_CRISPR_KO,L3_Krishnan_ML,L4_Sacco_RNAseq,L5_Sacco_Phospho,evidence_count
PRKACB,0,0,0,0,1,1
PRKACA,0,0,0,0,1,1
PRKAB1,0,0,0,0,1,1
PRIM1,0,0,0,1,0,1
PRICKLE1,0,1,0,0,0,1
PRG4,0,0,0,1,0,1
PREX1,0,0,1,0,0,1
PRDX6,0,0,0,0,1,1
PRDX5,1,0,0,0,0,1
PSMB6,1,0,0,0,0,1
PRC1,0,0,0,1,0,1
RGS16,0,1,0,0,0,1
PPWD1,0,0,0,1,0,1
PPP5C,0,0,0,0,1,1
RGS19,1,0,0,0,0,1
RGS2,0,0,0,1,0,1
PPP4R1L,0,0,0,1,0,1
PPP3CB,0,0,0,0,1,1
PPP3CA,0,0,0,0,1,1
PPP1R3F,0,0,0,1,0,1
RHBDD2,0,0,0,1,0,1
PPP1R32,0,0,0,1,0,1
RHBDF1,0,0,0,1,0,1
PRDM9,0,1,0,0,0,1
PSMB5,1,0,0,0,0,1
PSMB3,1,0,0,0,0,1
PSMB2,1,0,0,0,0,1
PSMB10,1,0,0,0,0,1
PSMA7,1,0,0,0,0,1
PSKH1,0,1,0,0,0,1
REPS2,0,1,0,0,0,1
PSEN1,0,0,0,0,1,1
RERG,0,1,0,0,0,1
RESF1,0,1,0,0,0,1
PSAP,0,0,0,1,0,1
RFC2,1,0,0,0,0,1
RFC3,0,0,0,1,0,1
PRKCD,0,0,0,0,1,1
PRSS57,1,0,0,0,0,1
RFC4,0,0,0,1,0,1
PRSS37,0,1,0,0,0,1
RFX5,0,0,0,0,1,1
PRSS21,1,0,0,0,0,1
PRSS2,0,1,0,0,0,1
PRR13,1,0,0,0,0,1
PRR11,0,0,0,1,0,1
PRPS2,0,1,0,0,0,1
RGCC,0,1,0,0,0,1
PROX2,0,1,0,0,0,1
PROX1,0,1,0,0,0,1
PROCR,0,1,0,0,0,1
PRKD2,0,0,0,0,1,1
PRTFDC1,0,0,0,1,0,1
NET1,0,0,1,0,0,1
NEURL2,0,0,0,1,0,1
NF2,0,0,0,0,1,1
NFATC1,0,0,0,0,1,1
NFE2L2,0,0,0,1,0,1
NFIB,0,1,0,0,0,1
NFKB1,0,0,0,0,1,1
NFKBIB,0,0,0,0,1,1
RPL21,1,0,0,0,0,1
NHP2,1,0,0,0,0,1
NIBAN1,0,1,0,0,0,1
NID1,0,0,0,1,0,1
NIFK,1,0,0,0,0,1
NIPAL2,0,0,0,1,0,1
NIPSNAP3B,0,0,0,1,0,1
NISCH,0,0,0,1,0,1
NIT1,0,0,0,1,0,1
NGFR,0,1,0,0,0,1
NDUFAF3,1,0,0,0,0,1
NDUFS3,1,0,0,0,0,1
NDUFS7,1,0,0,0,0,1
NDUFS8,1,0,0,0,0,1
NDUFV1,1,0,0,0,0,1
NEAT1,1,0,0,0,0,1
NEB,0,1,0,0,0,1
NEBL,0,1,0,0,0,1
NES,0,0,0,0,1,1
NEDD4L,0,0,0,0,1,1
NEDD9,0,1,0,0,0,1
NEFH,0,0,0,0,1,1
NEIL1,0,0,0,1,0,1
NEK1,0,1,0,0,0,1
NEK2,0,0,0,1,0,1
NEK3,0,0,0,1,0,1
NEMF,0,0,1,0,0,1
NEDD1,0,0,0,0,1,1
NPRL3,0,1,0,0,0,1
NR1H2,0,0,0,1,0,1
NR1H3,0,0,0,1,0,1
NR2F2,0,0,0,0,1,1
NR2F6,0,0,0,0,1,1
NR3C1,0,0,0,0,1,1
NR4A1,0,0,0,1,0,1
NR4A3,0,0,0,1,0,1
NKD2,0,1,0,0,0,1
NRARP,0,1,0,0,0,1
NRBF2,0,0,0,0,1,1
NRGN,0,1,0,0,0,1
NRIP1,1,0,0,0,0,1
NRROS,1,0,0,0,0,1
NRSN2,0,0,0,1,0,1
NRXN2,0,0,0,1,0,1
NSDHL,0,1,0,0,0,1
NR5A2,0,1,0,0,0,1
NKTR,0,0,0,1,0,1
NLK,0,1,0,0,0,1
NLRP11,0,1,0,0,0,1
NME1,0,0,0,0,1,1
NME2,1,0,0,0,0,1
NME3,0,0,0,1,0,1
NME8,0,0,0,1,0,1
NMNAT1,0,1,0,0,0,1
NPR3,1,0,0,0,0,1
NOS1AP,0,1,0,0,0,1
NOS3,0,1,0,0,0,1
NOTCH1,0,1,0,0,0,1
NOTCH2,0,0,0,0,1,1
NOXO1,0,1,0,0,0,1
NPDC1,0,1,0,0,0,1
NPHP3,0,0,0,1,0,1
NPHS1,0,1,0,0,0,1
NPIPB11,0,0,0,1,0,1
NOG,0,0,0,1,0,1
MTHFSD,0,0,0,1,0,1
MTMR3,0,0,0,1,0,1
MTRNR2L10,0,0,0,1,0,1
MTRNR2L3,0,0,0,1,0,1
