gene,p_val,avg_log2FC,pct1,pct2,p_val_adj,Class,gene_clean
PSMA7,9.89238293605026e-48,0.361497103520657,0.98,0.929,2.39455021350033e-43,C,PSMA7
HMGN1,1.04940326637298e-47,-0.45501938100725,0.881,0.952,2.54018554658245e-43,C,HMGN1
ZFP36.3,1.50400296019777e-47,-1.91673261281168,0.715,0.807,3.64058956545473e-43,C,ZFP36
IGLL1.3,1.31000237370686e-60,0.568497524254081,0.819,0.466,3.7099174579482e-43,C,IGLL1
PIDD1,1.58362286194812e-47,0.291092422139729,0.372,43,3.83331749963161e-43,C,PIDD1
PLAC8.2,3.69391312357673e-47,0.422317191476433,0.935,0.737,8.94148610692982e-43,C,PLAC8
NUDT1,4.08111787464978e-47,0.444129883045589,0.848,0.643,9.87875392737725e-43,C,NUDT1
S100A10.3,4.23083922989255e-47,0.566719954580755,0.757,0.485,1.02411694398779e-42,C,S100A10
FYB1,7.07599740173428e-47,0.384020646027136,0.367,47,1.7128159310638e-42,C,FYB1
INSIG1.2,3.2478141959821e-33,-0.588970288014211,0.253,0.514,7.56384590427942e-42,C,INSIG1
CDCA5.2,3.8299957687407e-33,0.335772530498217,0.322,16,7.70476877578138e-42,C,CDCA5
TAGLN2.3,4.4343682269526e-46,0.345983506995575,0.998,0.999,1.07338317301615e-41,C,TAGLN2
SYNGR1,5.27757241163626e-46,0.417209826583123,0.821,0.563,1.27748917796067e-41,C,SYNGR1
GTF2A2.3,5.70160256700422e-46,0.380630626364007,0.965,0.87,1.38012991736904e-41,C,GTF2A2
NUDT5,6.43144320036197e-46,0.376524807958797,0.799,0.535,1.55679514107962e-41,C,NUDT5
SPNS3,4.8522996542808e-59,0.458251043934236,0.735,0.412,1.7454765431521e-41,C,SPNS3
TALDO1,7.65333574038342e-46,0.320078099910035,1,0.997,1.85256644931721e-41,C,TALDO1
CCDC85B,3.09285446345167e-45,-0.489173183626187,0.501,0.683,7.48656351423111e-41,C,CCDC85B
LITAF,8.47914292963013e-45,0.467436957394038,0.744,0.487,2.05246133754627e-40,C,LITAF
DYNLL1.2,5.56954247605643e-44,0.440008494533126,0.975,0.883,1.34816345175422e-39,C,DYNLL1
GTSF1.3,7.08734272049706e-44,-0.451566007775132,0.027,0.29,1.71556217892352e-39,C,GTSF1
S100A11.3,7.4653622289772e-31,0.373074466696364,0.712,0.417,1.72989055811462e-39,C,S100A11
MAP3K8.3,1.75068066446307e-43,-0.976029270636714,0.374,0.582,4.23769761639931e-39,C,MAP3K8
TMED9,2.68274170216767e-43,0.379594810541781,0.936,0.789,6.49384456426706e-39,C,TMED9
NCF4.3,2.70159897380691e-43,0.395082618877242,0.93,0.736,6.53949047599701e-39,C,NCF4
NDUFS8,4.33216585411978e-43,0.348088306226734,0.936,0.804,1.04864406664823e-38,C,NDUFS8
PKM.3,4.4312341315145e-43,0.450664566806569,0.97,0.905,1.0726245338744e-38,C,PKM
ARL2,4.4857734163157e-43,0.308890819447975,0.601,0.322,1.08582631315338e-38,C,ARL2
TUBB6.2,5.76533861742438e-43,0.342891629357935,0.583,0.303,1.39555786573375e-38,C,TUBB6
RPS27L.2,1.37233584990618e-42,0.694114663371042,0.916,0.851,3.32187615828289e-38,C,RPS27L
FOSB.2,1.39358134070743e-42,-0.937851974764289,0.588,0.764,3.37330299331641e-38,C,FOSB
CENPM.3,1.37890276763775e-41,0.515553741495417,0.358,58,3.33777203934394e-37,C,CENPM
RALA.2,2.47389062034324e-41,0.353849237140311,0.871,0.617,5.98829963560286e-37,C,RALA
TRBC2,7.03743290410563e-41,0.388527574120982,0.846,0.556,1.70348100876781e-36,C,TRBC2
FARSA.2,1.95400003918746e-40,0.391366187711221,0.804,0.58,4.72985249485717e-36,C,FARSA
BAX.3,2.00913595699946e-40,0.710250369409411,0.817,0.652,4.86331449751288e-36,C,BAX
HIGD2A,4.20375445801531e-40,0.339613408589808,0.987,0.931,1.01756080410719e-35,C,HIGD2A
SNHG7.2,4.79250046927953e-52,-0.708156716731485,0.362,0.605,1.600726635938e-35,C,SNHG7
NFKBIA.2,6.89992825637169e-40,-0.810569450767969,0.477,0.671,1.67019663373733e-35,C,NFKBIA
TKT,1.01810760499761e-39,0.330669354377209,0.998,0.994,2.46443126865723e-35,C,TKT
HSPA1B.3,2.6487228906287e-26,0.996214931949268,0.663,0.464,5.24028986290557e-35,C,HSPA1B
GSTK1,2.9611026684892e-26,0.367772331113288,0.987,0.945,5.3159045119345e-35,C,GSTK1
BEX2,7.48323861675436e-39,-0.418024981970521,0.564,0.748,1.81139273957156e-34,C,BEX2
ANP32B,1.00175016912758e-38,-0.375090604542605,0.965,0.994,2.42483645939022e-34,C,ANP32B
PHB,2.61101439004939e-38,0.354274309809965,0.945,0.807,6.32022143255357e-34,C,PHB
HIST3H2A,3.00168175221292e-38,-0.434625992407143,0.229,0.491,7.2658708494066e-34,C,HIST3H2A
NPR3,3.33667542953706e-38,-0.43417915033388,0.471,0.679,8.0767565447374e-34,C,NPR3
MRPL28,3.9269334934571e-38,0.328033930214997,0.704,0.451,9.50553521426225e-34,C,MRPL28
LSP1.2,4.07723284590124e-38,0.352406092687307,0.96,0.829,9.86934982678855e-34,C,LSP1
TUFM,4.9772094417456e-25,0.34711300497952,0.97,0.924,1.01610033174689e-33,C,TUFM
SOD2.2,4.98783812362157e-38,-0.580972518656812,0.444,0.625,1.20735609620384e-33,C,SOD2
GPN3,6.48023668693065e-38,0.279525662670841,0.596,0.327,1.56860609243843e-33,C,GPN3
PADI4,6.70821690820514e-38,0.271704488837691,0.399,82,1.62379098480013e-33,C,PADI4
EIF6,1.07918877761887e-37,0.320740274920472,0.881,0.682,2.61228435510423e-33,C,EIF6
AVP.2,1.51979930214526e-37,-12479991263252.0,26,0.379,3.67882619077281e-33,C,AVP
ARPC3,1.90571232597852e-37,0.263480395496354,1,0.997,4.61296725626361e-33,C,ARPC3
UQCRC1,2.2524702487508e-37,0.366786278134305,0.906,0.781,5.45232948412619e-33,C,UQCRC1
TENT5A,3.3297097859173e-24,0.362457807975159,0.516,0.272,7.58366955077915e-33,C,TENT5A
JUNB.2,5.61783034257342e-37,-18195852143795.0,0.67,0.767,1.35985201272332e-32,C,JUNB
RAD51AP1.2,5.99677639347008e-37,0.289494588016848,0.333,43,1.45157969380337e-32,C,RAD51AP1
TWF2,6.05682049090051e-37,0.347443422896706,0.879,0.701,1.46611396802738e-32,C,TWF2
PSME2,1.0712117868269e-23,0.370736465474459,0.963,0.881,2.67989752511932e-32,C,PSME2
GSDMD.2,1.4996338099655e-23,0.326082374272465,0.799,0.562,2.78360136004025e-32,C,GSDMD
CTSC.2,1.8577180169693e-23,0.395585582736627,0.923,0.756,2.8702792231876e-32,C,CTSC
EREG.2,1.75294455608921e-36,-0.769743033940249,0.489,0.647,4.24317759246955e-32,C,EREG
EIF1,1.96566304513918e-36,-0.258522712678132,1,1,4.7580839670639e-32,C,EIF1
PCLAF,2.50895025008577e-36,0.336113447697725,0.343,59,6.07316497535762e-32,C,PCLAF
SERF2,2.90199535606875e-36,0.266506786626,1,0.999,7.02456995890003e-32,C,SERF2
YPEL5,3.01858389731898e-36,-0.473098077939019,0.621,0.757,7.30678418185032e-32,C,YPEL5
TK1.3,3.30546641785658e-36,0.543684460773678,0.337,46,8.00121201106364e-32,C,TK1
FSCN1.2,8.60331476103989e-36,0.351176186519668,0.839,0.632,2.08251837105732e-31,C,FSCN1
CST3,1.05024359251295e-35,-0.482295554092168,0.509,0.684,2.54221964003685e-31,C,CST3
B3GNTL1,8.98395436473871e-49,0.346413357840562,0.598,0.312,2.7465599352865e-31,C,B3GNTL1
TIMM17B,1.62830249567817e-35,0.326645804943615,0.737,0.501,3.94146902103858e-31,C,TIMM17B
NDUFS3,2.32114109077606e-35,0.364179046391447,0.889,0.73,5.61855412433252e-31,C,NDUFS3
RGS19.2,4.1286281639724e-22,0.341763743819589,0.797,0.54,9.95559573337117e-31,C,RGS19
TSC22D1.2,4.77286538929849e-48,-0.729277086362128,0.668,0.823,1.5531979613359e-30,C,TSC22D1
IKBIP,6.65234400400867e-35,0.304683088205788,0.516,0.287,1.61026638961034e-30,C,IKBIP
C12orf57.3,7.6151001341083e-35,-0.371305666020849,0.864,0.944,1.84331113846225e-30,C,C12orf57
AL034397.3,7.71895180407458e-35,0.484896022901899,0.516,0.294,1.86844947369429e-30,C,AL034397
TRAPPC1.2,8.51214104872814e-35,0.322663543933035,0.975,0.883,2.06044886225513e-30,C,TRAPPC1
DDIT3.3,8.62038284860349e-35,-0.670480762134431,0.337,0.538,2.08664987233296e-30,C,DDIT3
AREG.3,9.65575932940974e-35,-1.66731465760581,0.35,0.537,2.33727310327692e-30,C,AREG
CD200.3,1.09067828871699e-34,0.339314856021783,0.57,0.312,2.64009586566835e-30,C,CD200
